symbol,date,price
Facebook,Apr 2017,141.419998
Facebook,Apr 2017,140.960007
Facebook,Apr 2017,142.270004
Facebook,Apr 2017,143.800003
Facebook,Apr 2017,143.679993
Facebook,Apr 2017,145.470001
Facebook,Apr 2017,146.490005
Facebook,Apr 2017,146.559998
Facebook,Apr 2017,147.699997
Facebook,Apr 2017,150.25
Facebook,May 2017,152.460007
Facebook,May 2017,152.779999
Facebook,May 2017,151.800003
Facebook,May 2017,150.850006
Facebook,May 2017,150.240005
Facebook,May 2017,151.059998
Facebook,May 2017,150.479996
Facebook,May 2017,150.289993
Facebook,May 2017,150.039993
Facebook,May 2017,150.330002
Facebook,May 2017,150.190002
Facebook,May 2017,149.779999
Facebook,May 2017,144.850006
Facebook,May 2017,147.660004
Facebook,May 2017,148.059998
Facebook,May 2017,148.240005
Facebook,May 2017,148.070007
Facebook,May 2017,150.039993
Facebook,May 2017,151.960007
Facebook,May 2017,152.130005
Facebook,May 2017,152.380005
Facebook,May 2017,151.460007
Facebook,Jun 2017,151.529999
Facebook,Jun 2017,153.610001
Facebook,Jun 2017,153.630005
Facebook,Jun 2017,152.809998
Facebook,Jun 2017,153.119995
Facebook,Jun 2017,154.710007
Facebook,Jun 2017,149.600006
Facebook,Jun 2017,148.440002
Facebook,Jun 2017,150.679993
Facebook,Jun 2017,150.25
Facebook,Jun 2017,149.800003
Facebook,Jun 2017,150.639999
Facebook,Jun 2017,152.869995
Facebook,Jun 2017,152.25
Facebook,Jun 2017,153.910004
Facebook,Jun 2017,153.399994
Facebook,Jun 2017,155.070007
Facebook,Jun 2017,153.589996
Facebook,Jun 2017,150.580002
Facebook,Jun 2017,153.240005
Facebook,Jun 2017,151.039993
Facebook,Jun 2017,150.979996
Facebook,Jul 2017,148.429993
Facebook,Jul 2017,150.339996
Facebook,Jul 2017,148.820007
Facebook,Jul 2017,151.440002
Facebook,Jul 2017,153.5
Facebook,Jul 2017,155.270004
Facebook,Jul 2017,158.899994
Facebook,Jul 2017,159.259995
Facebook,Jul 2017,159.970001
Facebook,Jul 2017,159.729996
Facebook,Jul 2017,162.860001
Facebook,Jul 2017,164.139999
Facebook,Jul 2017,164.529999
Facebook,Jul 2017,164.429993
Facebook,Jul 2017,166
Facebook,Jul 2017,165.279999
Facebook,Jul 2017,165.610001
Facebook,Jul 2017,170.440002
Facebook,Jul 2017,172.449997
Facebook,Jul 2017,169.25
Facebook,Aug 2017,169.860001
Facebook,Aug 2017,169.300003
Facebook,Aug 2017,168.589996
