Date,Open,High,Low,Close,Adj Close,Volume
4/17/2017,141.479996,141.880005,140.869995,141.830002,139.621262,16582100
4/18/2017,141.410004,142.039993,141.110001,141.199997,139.001068,14697500
4/19/2017,141.880005,142,140.449997,140.679993,138.489166,17328400
4/20/2017,141.220001,142.919998,141.160004,142.440002,140.221771,23319600
4/21/2017,142.440002,142.679993,141.850006,142.270004,140.054413,17320900
4/24/2017,143.5,143.949997,143.179993,143.639999,141.403061,17134300
4/25/2017,143.910004,144.899994,143.869995,144.529999,142.279205,18871500
4/26/2017,144.470001,144.600006,143.380005,143.679993,141.442444,20041200
4/27/2017,143.919998,144.160004,143.309998,143.789993,141.550735,14246300
4/28/2017,144.089996,144.300003,143.270004,143.649994,141.412918,20860400
5/1/2017,145.100006,147.199997,144.960007,146.580002,144.297287,33602900
5/2/2017,147.539993,148.089996,146.839996,147.509995,145.212799,45352200
5/3/2017,145.589996,147.490005,144.270004,147.059998,144.769821,45697000
5/4/2017,146.520004,147.139999,145.809998,146.529999,144.248062,23371900
5/5/2017,146.759995,148.979996,146.759995,148.960007,146.640228,27327700
5/8/2017,149.029999,153.699997,149.029999,153.009995,150.627167,48752400
5/9/2017,153.869995,154.880005,153.449997,153.990005,151.591904,39130400
5/10/2017,153.630005,153.940002,152.110001,153.259995,150.87326,25805700
5/11/2017,152.449997,154.070007,152.309998,153.949997,152.178055,27255100
5/12/2017,154.699997,156.419998,154.669998,156.100006,154.303329,32527000
5/15/2017,156.009995,156.649994,155.050003,155.699997,153.907913,26009700
5/16/2017,155.940002,156.059998,154.720001,155.470001,153.680573,20048500
5/17/2017,153.600006,154.570007,149.710007,150.25,148.52066,50767700
5/18/2017,151.270004,153.339996,151.130005,152.539993,150.784286,33568200
5/19/2017,153.380005,153.979996,152.630005,153.059998,151.298294,26960800
5/22/2017,154,154.580002,152.910004,153.990005,152.217621,22966400
5/23/2017,154.899994,154.899994,153.309998,153.800003,152.029785,19918900
5/24/2017,153.839996,154.169998,152.669998,153.339996,151.575073,19178000
5/25/2017,153.729996,154.350006,153.029999,153.869995,152.098969,19235600
5/26/2017,154,154.240005,153.309998,153.610001,151.84198,21701100
5/30/2017,153.419998,154.429993,153.330002,153.669998,151.901291,20126900
5/31/2017,153.970001,154.169998,152.380005,152.759995,151.00177,24451200
6/1/2017,153.169998,153.330002,152.220001,153.179993,151.416931,16404100
6/2/2017,153.580002,155.449997,152.889999,155.449997,153.660797,27770700
6/5/2017,154.339996,154.449997,153.460007,153.929993,152.158295,25331700
6/6/2017,153.899994,155.809998,153.779999,154.449997,152.672302,26624900
6/7/2017,155.020004,155.979996,154.479996,155.369995,153.581711,21069600
6/8/2017,155.25,155.539993,154.399994,154.990005,153.2061,21250800
6/9/2017,155.190002,155.190002,146.020004,148.979996,147.265274,64882700
6/12/2017,145.740005,146.089996,142.509995,145.419998,143.746246,72307300
6/13/2017,147.160004,147.449997,145.149994,146.589996,144.902771,34165400
6/14/2017,147.5,147.5,143.839996,145.160004,143.489243,31531200
6/15/2017,143.320007,144.479996,142.210007,144.289993,142.629257,32165400
6/16/2017,143.779999,144.5,142.199997,142.270004,140.632507,50361100
6/19/2017,143.660004,146.740005,143.660004,146.339996,144.655655,32541400
6/20/2017,146.869995,146.869995,144.940002,145.009995,143.340973,24900100
6/21/2017,145.520004,146.070007,144.610001,145.869995,144.191055,21265800
