Date,Open,High,Low,Close,Adj Close,Volume
4/17/2017,139.759995,141.550003,139.75,141.419998,141.419998,11519700
4/18/2017,141.270004,141.910004,140.610001,140.960007,140.960007,14807500
4/19/2017,141.350006,143.039993,141.270004,142.270004,142.270004,15563900
4/20/2017,142.949997,144.25,142.690002,143.800003,143.800003,15968200
4/21/2017,143.899994,144.169998,142.270004,143.679993,143.679993,12382000
4/24/2017,144.960007,145.669998,144.339996,145.470001,145.470001,14407200
4/25/2017,145.789993,147.149994,145.789993,146.490005,146.490005,17767500
4/26/2017,147.089996,147.589996,146.089996,146.559998,146.559998,12395000
4/27/2017,146.669998,147.75,146.139999,147.699997,147.699997,11275100
4/28/2017,149.5,151.529999,149.070007,150.25,150.25,30568000
5/1/2017,151.740005,152.570007,151.419998,152.460007,152.460007,25218300
5/2/2017,153.339996,153.440002,151.660004,152.779999,152.779999,21870400
5/3/2017,153.600006,153.600006,151.339996,151.800003,151.800003,29782500
5/4/2017,150.169998,151.520004,148.720001,150.850006,150.850006,36225500
5/5/2017,151.449997,151.630005,149.789993,150.240005,150.240005,17148500
5/8/2017,150.710007,151.080002,149.740005,151.059998,151.059998,15827500
5/9/2017,151.490005,152.589996,150.210007,150.479996,150.479996,17453900
5/10/2017,150.229996,150.520004,148.860001,150.289993,150.289993,12080700
5/11/2017,150.309998,150.649994,149.410004,150.039993,150.039993,11841900
5/12/2017,150.399994,150.460007,149.630005,150.330002,150.330002,9598200
5/15/2017,150.169998,151.479996,149.770004,150.190002,150.190002,15064700
5/16/2017,150.110001,150.210007,149.029999,149.779999,149.779999,14550800
5/17/2017,148,148.669998,144.419998,144.850006,144.850006,28300100
5/18/2017,144.720001,148.149994,144.509995,147.660004,147.660004,23031600
5/19/2017,148.449997,149.389999,147.960007,148.059998,148.059998,16187900
5/22/2017,148.080002,148.589996,147.690002,148.240005,148.240005,12586700
5/23/2017,148.520004,148.809998,147.25,148.070007,148.070007,12817800
5/24/2017,148.509995,150.229996,148.419998,150.039993,150.039993,17862400
5/25/2017,150.300003,152.589996,149.949997,151.960007,151.960007,19891400
5/26/2017,152.229996,152.25,151.149994,152.130005,152.130005,14996200
5/30/2017,151.970001,152.899994,151.639999,152.380005,152.380005,13226000
5/31/2017,152.699997,153.350006,151.089996,151.460007,151.460007,18023900
6/1/2017,151.75,152.289993,150.300003,151.529999,151.529999,14530600
6/2/2017,151.850006,153.630005,151.300003,153.610001,153.610001,16854400
6/5/2017,153.639999,154.710007,153.410004,153.630005,153.630005,12520400
6/6/2017,153.410004,154.520004,152.479996,152.809998,152.809998,13457100
6/7/2017,153.270004,153.75,152.339996,153.119995,153.119995,12066700
6/8/2017,154.080002,154.729996,153.100006,154.710007,154.710007,17719700
6/9/2017,154.770004,155.589996,146.610001,149.600006,149.600006,35577700
6/12/2017,148.169998,149.199997,144.559998,148.440002,148.440002,33170200
6/13/2017,150.149994,151.179993,148.899994,150.679993,150.679993,20483400
6/14/2017,151.259995,152.399994,149.050003,150.25,150.25,20808800
6/15/2017,147.669998,150.039993,146.369995,149.800003,149.800003,18994200
6/16/2017,149.589996,150.830002,148.600006,150.639999,150.639999,22882400
6/19/2017,151.710007,153.570007,151.710007,152.869995,152.869995,19026500
6/20/2017,152.880005,153.839996,152.210007,152.25,152.25,14743900
6/21/2017,152.360001,154.080002,151.880005,153.910004,153.910004,15039800
6/22/2017,153.009995,154.550003,152.910004,153.399994,153.399994,13005500
6/23/2017,152.720001,155.199997,152.649994,155.070007,155.070007,18027000
6/26/2017,156.25,156.5,153.199997,153.589996,153.589996,18049700
6/27/2017,152.839996,153.309998,150.389999,150.580002,150.580002,19360800
6/28/2017,150.919998,153.470001,149.860001,153.240005,153.240005,16719100
6/29/2017,152.279999,152.5,148.919998,151.039993,151.039993,23973500
6/30/2017,151.899994,151.919998,150.059998,150.979996,150.979996,17666000
7/3/2017,151.720001,152.149994,147.800003,148.429993,148.429993,13862700
7/5/2017,149,150.850006,148.130005,150.339996,150.339996,14334300
7/6/2017,149.029999,150.039993,148,148.820007,148.820007,14951800
7/7/2017,149.25,151.990005,149.190002,151.440002,151.440002,13615900
7/10/2017,151.690002,153.979996,151.509995,153.5,153.5,13378700
7/11/2017,153.369995,155.419998,152.910004,155.270004,155.270004,13667700
7/12/2017,156.490005,159.160004,156.199997,158.899994,158.899994,22739400
7/13/2017,158.740005,159.779999,158.419998,159.259995,159.259995,13929200
7/14/2017,160.130005,160.320007,159.330002,159.970001,159.970001,16371200
7/17/2017,160.25,160.779999,158.809998,159.729996,159.729996,12858800
7/18/2017,159.660004,163.729996,159.419998,162.860001,162.860001,23722900
7/19/2017,163.589996,165.699997,163.169998,164.139999,164.139999,26273600
7/20/2017,164.800003,165,162.809998,164.529999,164.529999,18523100
7/21/2017,164.160004,165.050003,163.75,164.429993,164.429993,14744000
7/24/2017,164.639999,166.169998,164.309998,166,166,17367000
7/25/2017,165.009995,165.539993,163.860001,165.279999,165.279999,15383200
7/26/2017,166.009995,166.009995,164.100006,165.610001,165.610001,35236900
7/27/2017,174.699997,175.490005,167.5,170.440002,170.440002,68910700
7/28/2017,169.070007,173.429993,169.050003,172.449997,172.449997,24557600
7/31/2017,172,172.720001,168.550003,169.25,169.25,25478900
8/1/2017,169.820007,170.470001,169.050003,169.860001,169.860001,14385000
8/2/2017,170.300003,170.550003,166.910004,169.300003,169.300003,17433800
8/3/2017,169.300003,169.699997,168.25,168.589996,168.589996,10793800
8/4/2017,168.970001,170.059998,168.690002,169.619995,169.619995,10777700
8/7/2017,169.949997,172.059998,169.660004,171.979996,171.979996,12787800
8/8/2017,171.880005,173.050003,170.619995,171.229996,171.229996,14393500
8/9/2017,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
8/10/2017,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
8/11/2017,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
8/14/2017,170.089996,171.080002,169.289993,170.75,170.75,12954200
8/15/2017,171.490005,171.5,170.009995,171,171,8729200
8/16/2017,171.25,171.380005,169.240005,170,170,15779900
8/17/2017,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
8/18/2017,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
8/21/2017,167.160004,168,165.820007,167.779999,167.779999,11907500
8/22/2017,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
8/23/2017,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
8/24/2017,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
8/25/2017,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
8/28/2017,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
8/29/2017,165.25,168.429993,165,168.050003,168.050003,11121000
8/30/2017,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
8/31/2017,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
